influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.5,0.001,0.05,0.005,0.783015,0.138195,,,,,,
0.05,0.01,0.1,0.001,0.783015,0.671937,,,,,,
0.1,0.01,0.05,0.001,0.783015,0.68845,,,,,,
0.01,0.01,0.1,0.001,0.783015,0.689508,,,,,,
0.1,0.001,0.01,0.01,0.783014,0.0680581,,,,,,
0.1,0.01,0.1,0.001,0.783014,0.670913,,,,,,
0.05,0.005,0.4,0.001,0.783014,0.692748,,,,,,
0.01,0.005,0.4,0.001,0.783014,0.694316,,,,,,
0.3,0.01,0.001,0.001,0.783014,0.696861,,,,,,
0.3,0.001,0.001,0.01,0.783013,0.0675295,,,,,,
0.3,0.01,0.01,0.001,0.783013,0.680756,,,,,,
0.1,0.005,0.4,0.001,0.783013,0.695656,,,,,,
0.3,0.01,0.005,0.001,0.783013,0.71268,,,,,,
0.3,0.001,0.005,0.01,0.783012,0.0717286,,,,,,
0.3,0.01,0.05,0.001,0.783012,0.686649,,,,,,
0.01,0.01,0.2,0.001,0.783012,0.690317,,,,,,
0.01,0.001,0.1,0.005,0.783011,0.141997,,,,,,
0.05,0.01,0.2,0.001,0.783011,0.691583,,,,,,
0.3,0.005,0.4,0.001,0.783011,0.695266,,,,,,
0.3,0.001,0.01,0.01,0.78301,0.0677389,,,,,,
0.5,0.001,0.001,0.01,0.78301,0.0712519,,,,,,
0.05,0.001,0.1,0.005,0.78301,0.139295,,,,,,
0.1,0.001,0.1,0.005,0.78301,0.142736,,,,,,
0.1,0.01,0.2,0.001,0.78301,0.654754,,,,,,
0.5,0.01,0.001,0.001,0.78301,0.693654,,,,,,
0.5,0.01,0.01,0.001,0.78301,0.694719,,,,,,
0.3,0.01,0.1,0.001,0.78301,0.695342,,,,,,
0.5,0.005,0.4,0.001,0.78301,0.69596,,,,,,
0.5,0.01,0.005,0.001,0.78301,0.69967,,,,,,
0.5,0.001,0.005,0.01,0.783008,0.0716974,,,,,,
0.3,0.001,0.1,0.005,0.783008,0.142992,,,,,,
0.5,0.01,0.05,0.001,0.783008,0.680746,,,,,,
0.5,0.001,0.01,0.01,0.783007,0.0676276,,,,,,
0.3,0.01,0.2,0.001,0.783007,0.6962,,,,,,
0.5,0.01,0.1,0.001,0.783007,0.696603,,,,,,
0.5,0.001,0.1,0.005,0.783006,0.135274,,,,,,
0.05,0.01,0.4,0.001,0.783005,0.697285,,,,,,
0.01,0.01,0.4,0.001,0.783005,0.707797,,,,,,
0.1,0.01,0.4,0.001,0.783004,0.688279,,,,,,
0.5,0.01,0.2,0.001,0.783003,0.663294,,,,,,
0.01,0.001,0.05,0.01,0.783002,0.069503,,,,,,
0.05,0.001,0.05,0.01,0.783001,0.0671024,,,,,,
0.1,0.001,0.05,0.01,0.783001,0.0682864,,,,,,
0.3,0.01,0.4,0.001,0.783,0.687886,,,,,,
0.3,0.001,0.05,0.01,0.782997,0.0724404,,,,,,
0.5,0.01,0.4,0.001,0.782997,0.693278,,,,,,
0.5,0.001,0.05,0.01,0.782994,0.0716252,,,,,,
0.01,0.001,0.2,0.005,0.782994,0.14172,,,,,,
0.05,0.001,0.2,0.005,0.782994,0.142194,,,,,,
0.01,0.005,0.001,0.005,0.782993,0.140673,,,,,,
0.1,0.001,0.2,0.005,0.782993,0.141365,,,,,,
0.01,0.005,0.005,0.005,0.782992,0.139495,,,,,,
0.3,0.001,0.2,0.005,0.782992,0.140562,,,,,,
0.01,0.01,0.4,0.01,0.782991,0.07159,,,,,,
0.05,0.005,0.001,0.005,0.782991,0.13747,,,,,,
0.01,0.005,0.01,0.005,0.782991,0.140004,,,,,,
0.5,0.001,0.2,0.005,0.78299,0.140606,,,,,,
0.05,0.005,0.005,0.005,0.78299,0.140791,,,,,,
0.05,0.005,0.01,0.005,0.78299,0.14151,,,,,,
0.1,0.005,0.001,0.005,0.782989,0.135317,,,,,,
0.1,0.005,0.005,0.005,0.782988,0.140035,,,,,,
0.1,0.005,0.01,0.005,0.782987,0.139306,,,,,,
0.01,0.001,0.1,0.01,0.782986,0.0703151,,,,,,
0.05,0.001,0.1,0.01,0.782985,0.0698852,,,,,,
0.01,0.005,0.05,0.005,0.782985,0.134161,,,,,,
0.1,0.001,0.1,0.01,0.782984,0.0701316,,,,,,
0.05,0.005,0.05,0.005,0.782983,0.13392,,,,,,
0.3,0.001,0.1,0.01,0.782981,0.070341,,,,,,
0.1,0.005,0.05,0.005,0.782981,0.134335,,,,,,
0.3,0.005,0.005,0.005,0.78298,0.137171,,,,,,
0.3,0.005,0.001,0.005,0.78298,0.141128,,,,,,
